Category,Product Group,Item Code,Item Name,OEMCode,HSNCode,Brand,Size,RSP,MRP,OSP,Vendor,CreateDate,LastModifiedDate,GST%,CESS
BOOKS,NON-FICTION,WP03150,BBHA:FUTURE OF ISLAM,"9781845885694,BBH13014",4901,WILCO INTERNATIONAL,BH1516,396,495,495,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COOKERY,WP14944,BBHA:GORDON RAMSAYS:PASSION FOR FLAVOUR,"9780753726815,BBH13015",4901,WILCO INTERNATIONAL,BH1469,499,2499,2499,WILCO INTERNATIONAL,25.Apr.22,20.May.22,0,0
BOOKS,COOKERY,WP03151,BBHA:LOVE FOOD:WHOOPIE PIES,"9781445487441,BBH13021",4901,WILCO INTERNATIONAL,BH1483,299,495,495,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP14945,BBHA:PEOPLE WITHOUT HISTORY,"9780745331133,BBH13022",4901,WILCO INTERNATIONAL,BH1508,239,299,299,WILCO INTERNATIONAL,25.Apr.22,25.Apr.22,0,0
BOOKS,COOKERY,WP03152,BBHA:VEG BOOK BOX (4 MAGNETIC RECIPE BOOKS) (STK),"9781472322999,BBH13026",4901,WILCO INTERNATIONAL,BH1500,99,599,599,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN,WP03153,HB:ILLU CLASSICS TALES OF TREASURE (12 VOL) (STK),"9781488904196,BBH13028",4901,WILCO INTERNATIONAL,HB0878,1499,2995,2995,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COOKERY,WP03154,JUST 5 MIN:CAKES & DESSERTS,"9780600629115,BBH13031",4901,WILCO INTERNATIONAL,GX2188,199,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COOKERY,WP03155,JUST 5 MIN:ITALIAN,"9780600629191,BBH13032",4901,WILCO INTERNATIONAL,GX2189,199,499,199,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,COOKERY,WP03156,JUST 5 MIN:LOW CALORIE,"9780600629184,BBH13033",4901,WILCO INTERNATIONAL,GX2190,199,499,199,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN,WP03157,BBH:IG:MONKEY:MONKEY WALKED INTO A BAR,"9781783436156,BBH13035",4901,WILCO INTERNATIONAL,BH1493,99,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CLASSICS,WP03158,CL:SELECTED SHORT (LAWRENCE) STORIES,"9788182524200,BBH13037",4901,WILCO INTERNATIONAL,WH0593,399,399,399,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03159,PG:CHALLENGING FUN FOR EVERYONE:TANGRAM (STK),"9781445475349,BBH13038",4901,WILCO INTERNATIONAL,GX1528,396,495,495,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03160,PG:365 THINGS TO MAKE AND DO RIGHT NOW (H/B) (A),"9781445487953,BBH13040",4901,WILCO INTERNATIONAL,GX5944,299,599,299,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,PERSONAL DEVELOPMENT & SELF-HELP,WP03161,YOU CAN HEAL YOUR LIFE,"9788190565585,BBH13042",4901,IBD,VN1788,399,499,450,IBD,18.Jan.22,23.Jun.22,0,0
BOOKS,BIOGRAPHY-AUTOBIOGRAPHY,WP03162,BABURNAMA,"9788129141750,BBH13045",4901,RUPA,VN0019,396,495,495,RUPA,18.Jan.22,18.Jan.22,0,0
BOOKS,BUSINESS & MANAGEMENT,WP03163,THE CURIOUS MARKETER,"9780670089758,BBH13058",4901,IBD,VN4984,480,599,599,IBD,18.Jan.22,18.Jan.22,0,0
BOOKS,BIOGRAPHY-AUTOBIOGRAPHY,WP03164,THE AMAZING STORY OF THE MAN WHO CYCLED FROM INDIA TO EUROPE FOR LOVE,"9781786072078,BBH13068",4901,HARPERCOLLINS,VN0017,319,399,399,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03165,HINDUISM (P/B),"9780141018249,BBH13070",4901,VAIBHAV,VN0765,259,299,299,VAIBHAV,18.Jan.22,18.Jan.22,0,0
NON BOOKS,GENERAL.,WP03166,SPRITE 350ML,"8901764031113,BBH13075",22021010,OM ENTERPRISE,UNDEFINED,100,100,100,OM ENTERPRISE,18.Jan.22,1.Oct.22,28,0
NON BOOKS,GENERAL.,WP03167,FANTA 330ML,BBH13076,22021010,OM ENTERPRISE,UNDEFINED,100,100,100,OM ENTERPRISE,18.Jan.22,23.Sep.22,18,0
NON BOOKS,GENERAL.,WP03168,THUMS UP 330ML,"8901764041112,BBH13077",22021010,OM ENTERPRISE,UNDEFINED,100,100,100,OM ENTERPRISE,18.Jan.22,1.Oct.22,18,0
BOOKS,HEALTH & FITNESS/ YOGA,WP17220,ZZZ 2 DAY DIET-DIET TWO DAY'S WEEK,"9780091948054,BBH13078",4901,WILCO INTERNATIONAL,GX2268,349,599,599,WILCO INTERNATIONAL,25.Apr.22,25.Apr.22,0,0
BOOKS,GAMES/PUZZLES/CROSSWORDS,WP14946,BARBIE PRINCESS & POP STAR:JIGSAW PUZZLE SET (STK),"9781782961956,BBH13079",4901,WILCO INTERNATIONAL,GX2322,399,799,799,WILCO INTERNATIONAL,25.Apr.22,25.Apr.22,0,0
BOOKS,BIOGRAPHY-AUTOBIOGRAPHY,WP03170,ZZZ BBH:BOB DYLAN:CHRONICLES (VOL 1),"9781849833370,BBH13080",4901,WILCO INTERNATIONAL,BH1132,299,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,RELIGION/SPIRITUALITY,WP03171,BBH:BRIEF GUIDE TO SPIRITUAL CLASSICS,"9781472136930,BBH13081",4901,WILCO INTERNATIONAL,BH1546,299,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,LITERATURE & FICTION,WP03172,BBH:DEAD ENDS,"9780571308293,BBH13085",4901,WILCO INTERNATIONAL,BH1555,299,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP03173,BBH:GOOD EARTH THE PULITZER,"9781471147432,BBH13086",4901,WILCO INTERNATIONAL,BH1553,239,299,299,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,NON-FICTION,WP03174,ZZZ BBH:MAMMOTH BOOK OF ROLLING STONES,"9781780336466,BBH13088",4901,WILCO INTERNATIONAL,BH1547,399,499,499,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,ATLASES AND MAPS,WP03175,ZZZ BBH:PSYCHOLOGY OF SUCCESS:YOUR A-Z MAP,"9781785780219,BBH13089",4901,WILCO INTERNATIONAL,BH1556,360,450,450,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03176,IG:FUNKY ERASERS (STK),"9781785570520,BBH13091",4901,WILCO INTERNATIONAL,IG0347,299,599,599,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,JEWELLERY-GEMSTONES,WP03177,IG:JEWELLERY MAKING KIT (STK),"9781786701824,BBH13094",4901,WILCO INTERNATIONAL,IG0336,499,799,799,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,FASHION/PHOTOGRAPHY,WP03178,IG:NAIL ART (STK),"9781784409562,BBH13095",4901,WILCO INTERNATIONAL,IG0344,499,799,799,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
BOOKS,CHILDREN: ACTIVITY BOOKS,WP03179,IG:SUPER COOL STAMPERS (STK),"9781785570506,BBH13097",4901,WILCO INTERNATIONAL,IG0345,299,599,599,WILCO INTERNATIONAL,18.Jan.22,18.Jan.22,0,0
NON BOOKS,TOY,WP03180,SIMBA - CMM SEQUIN MESSENGER BAG FROZEN,"8436543869347,BBH13099",9503,SIMBA,UNDEFINED,1799,1799,1799,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP03181,SIMBA - CMM HEART SEQUIN FROZEN BAG BLUE EDITION,"8435442401177,BBH13101",9503,SIMBA,UNDEFINED,1099,1099,1099,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP03182,SIMBA - CMM SEQUIN DELUXE SPRING BAG FROZEN,"8435442406295,BBH13105",9503,SIMBA,UNDEFINED,1199,1199,1199,SIMBA,18.Jan.22,18.Jan.22,18,0
NON BOOKS,TOY,WP03183,SIMBA - CMM SEQUIN MESSENGER AND PURSE PACK FROZEN,"8435442404901,BBH13107",9503,SIMBA,UNDEFINED,1999,1999,1999,SIMBA,18.Jan.22,18.Jan.22,18,0
BOOKS,CHILDREN: STORYBOOKS & FICTION,WP03184,THE HOBBIT / LOT OF THE RING  BOX SET 75TH ANNIVERSARY,"9780261103566,BBH13109",4901,HARPERCOLLINS,VN1675,1599,1999,1999,HARPERCOLLINS,18.Jan.22,5.Sep.22,0,0
